MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
BILLING_RUN,BILLWHITEHOLE,BILLING,WHITEHOLE,5,INSERT,
DEMAND_FORECASTS,DEMANDOPERATIONALACTUAL,OPERATIONAL_DEMAND,ACTUAL,2,INSERT-UPDATE,LASTCHANGED
DEMAND_FORECASTS,DEMANDOPERATIONALACTUAL,OPERATIONAL_DEMAND,ACTUAL,2,INSERT-UPDATE,LASTCHANGED
DEMAND_FORECASTS,DEMANDOPERATIONALFORECAST,OPERATIONAL_DEMAND,FORECAST,1,UPDATE-INSERT,LASTCHANGED
DEMAND_FORECASTS,INTERMITTENT_CLUSTER_AVAIL,DEMAND,INTERMITTENT_CLUSTER_AVAIL,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_CLUSTER_AVAIL_DAY,DEMAND,INTERMITTENT_CLUSTER_AVAIL_DAY,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_DS_PRED,DEMAND,INTERMITTENT_DS_PRED,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_DS_RUN,DEMAND,INTERMITTENT_DS_RUN,1,INSERT-UPDATE,NONE
DEMAND_FORECASTS,INTERMITTENT_FORECAST_TRK,DISPATCH,INTERMITTENT_FORECAST_TRK,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_GEN_FCST,FORECAST,INTERMITTENT_GEN,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_GEN_FCST_DATA,FORECAST,INTERMITTENT_GEN_DATA,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_GEN_LIMIT,DEMAND,INTERMITTENT_GEN_LIMIT,1,INSERT,
DEMAND_FORECASTS,INTERMITTENT_GEN_LIMIT_DAY,DEMAND,INTERMITTENT_GEN_LIMIT_DAY,1,INSERT,
DEMAND_FORECASTS,MTPASA_INTERMITTENT_AVAIL,DEMAND,MTPASA_INTERMITTENT_AVAIL,1,INSERT,
DEMAND_FORECASTS,MTPASA_INTERMITTENT_LIMIT,DEMAND,MTPASA_INTERMITTENT_LIMIT,1,INSERT,
DEMAND_FORECASTS,PERDEMAND,DEMAND,PERIOD,1,INSERT,
DEMAND_FORECASTS,PERDEMAND,DEMAND,PERIOD,1,INSERT,
DEMAND_FORECASTS,RESDEMANDTRK,DEMAND,TRK,1,INSERT,
DEMAND_FORECASTS,RESDEMANDTRK,DEMAND,TRK,1,INSERT,
DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL,ROOFTOP,ACTUAL,2,INSERT,
DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL,ROOFTOP,ACTUAL,2,INSERT,
DEMAND_FORECASTS,ROOFTOP_PV_ACTUAL,ROOFTOP,ACTUAL,2,INSERT,
DEMAND_FORECASTS,ROOFTOP_PV_FORECAST,ROOFTOP,FORECAST,1,INSERT,
DISPATCH,CONSTRAINTRELAXATION_OCD,DISPATCHOCD,CONSTRAINTRELAXATION,2,INSERT-UPDATE,LASTCHANGED
DISPATCH,CONSTRAINTRELAXATION_OCD,PRICELOAD,CONSTRAINTRELAXATION,1,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCHBLOCKEDCONSTRAINT,DISPATCH,BLOCKED_CONSTRAINTS,1,INSERT,
DISPATCH,DISPATCHCASESOLUTION,DISPATCH,CASE_SOLUTION,2,INSERT,
DISPATCH,DISPATCHCONSTRAINT,DISPATCH,CONSTRAINT,5,INSERT,
