REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
DEMAND,INTERMITTENT_GEN_LIMIT,1,INTERMITTENT_GEN_LIMIT,INSERT,
DEMAND,INTERMITTENT_GEN_LIMIT_DAY,1,INTERMITTENT_GEN_LIMIT_DAY,INSERT,
DEMAND,INTERMITTENT_GEN_SCADA,1,INTERMITTENT_GEN_SCADA,INSERT,
DEMAND,MTPASA_INTERMITTENT_AVAIL,1,MTPASA_INTERMITTENT_AVAIL,INSERT,
DEMAND,MTPASA_INTERMITTENT_AVAIL,2,MTPASA_INTERMITTENT_AVAIL,INSERT,
DEMAND,MTPASA_INTERMITTENT_LIMIT,1,MTPASA_INTERMITTENT_LIMIT,INSERT,
DEMAND,PERIOD,1,PERDEMAND,INSERT,
DEMAND,TRK,1,RESDEMANDTRK,INSERT,
DISPATCH,BLOCKED_CONSTRAINTS,1,DISPATCHBLOCKEDCONSTRAINT,INSERT,
DISPATCH,CASE_SOLUTION,2,DISPATCHCASESOLUTION,INSERT,
DISPATCH,CONSTRAINT,5,DISPATCHCONSTRAINT,INSERT,
DISPATCH,FCAS_REQ,2,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED
DISPATCH,FCAS_REQ,1,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED
DISPATCH,INTERCONNECTION,1,DISPATCH_INTERCONNECTION,INSERT-UPDATE,LASTCHANGED
DISPATCH,INTERCONNECTORRES,3,DISPATCHINTERCONNECTORRES,INSERT,
DISPATCH,INTERMITTENT_FORECAST_TRK,1,INTERMITTENT_FORECAST_TRK,INSERT,
DISPATCH,LOCAL_PRICE,1,DISPATCH_LOCAL_PRICE,INSERT,
DISPATCH,MNSPBIDTRK,1,DISPATCH_MNSPBIDTRK,INSERT,
DISPATCH,MR_SCHEDULE_TRK,1,DISPATCH_MR_SCHEDULE_TRK,INSERT,
DISPATCH,NEGATIVE_RESIDUE,1,NEGATIVE_RESIDUE,INSERT,
DISPATCH,OFFERTRK,1,DISPATCHOFFERTRK,INSERT,
DISPATCH,PRICE,5,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED
DISPATCH,PRICE,4,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED
DISPATCH,REGIONSUM,7,DISPATCHREGIONSUM,INSERT,
DISPATCH,REGIONSUM,6,DISPATCHREGIONSUM,INSERT,
DISPATCH,UNIT_CONFORMANCE,1,DISPATCH_UNIT_CONFORMANCE,INSERT,
DISPATCH,UNIT_CONFORMANCE,2,DISPATCH_UNIT_CONFORMANCE,INSERT,
DISPATCH,UNIT_SCADA,1,DISPATCH_UNIT_SCADA,INSERT-UPDATE,
DISPATCH,UNIT_SOLUTION,3,DISPATCHLOAD,INSERT,
DISPATCH,UNIT_SOLUTION,4,DISPATCHLOAD,INSERT,
DISPATCHBNC,CASESOLUTION,1,DISPATCHCASESOLUTION_BNC,INSERT,
DISPATCHBNC,UNITSOLUTION,1,DISPATCHLOAD_BNC,INSERT,
DISPATCHBNC,UNIT_SOLUTION,1,DISPATCHLOAD_BNC,INSERT,
DISPATCHOCD,CASE,1,DISPATCHCASE_OCD,INSERT,
DISPATCHOCD,CONSTRAINTRELAXATION,2,CONSTRAINTRELAXATION_OCD,INSERT-UPDATE,LASTCHANGED
DISPATCHOCD,CONSTRAINT_FCAS_OCD,1,DISPATCH_CONSTRAINT_FCAS_OCD,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,IRFMAMOUNT,1,IRFMAMOUNT,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,IRFMEVENTS,1,IRFMEVENTS,INSERT,
FORCE_MAJEURE,MARKET_SUSPEND_REGIME_SUM,1,MARKET_SUSPEND_REGIME_SUM,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_REGION_SUM,1,MARKET_SUSPEND_REGION_SUM,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,1,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,2,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE_TRK,1,MARKET_SUSPEND_SCHEDULE_TRK,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,OVERRIDERRP,1,OVERRIDERRP,INSERT-UPDATE,LASTCHANGED
FORECAST,INTERMITTENT_GEN,1,INTERMITTENT_GEN_FCST,INSERT,
FORECAST,INTERMITTENT_GEN_DATA,1,INTERMITTENT_GEN_FCST_DATA,INSERT,
