
REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE,IS_ACTIVE,IS_NEW
GASBB,GAS_CONNECTIONPOINT_CAPACITY,1,GAS_CONNECTIONPOINT_CAPACITY,INSERT,,1,0
GASBB,GAS_CONTACT,1,GAS_CONTACT,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_CONTACT_DETAIL,1,GAS_CONTACT_DETAIL,INSERT,,1,0
GASBB,GAS_DAILY_FLOW_ACTUAL,1,GAS_DAILY_FLOW_ACTUAL,INSERT,,1,0
GASBB,GAS_DAILY_STORAGE_ACTUAL,2,GAS_DAILY_STORAGE_ACTUAL,INSERT,,1,0
GASBB,GAS_DAILY_STORAGE_ACTUAL,1,GAS_DAILY_STORAGE_ACTUAL,INSERT,,1,0
GASBB,GAS_DEVFACILITY,1,GAS_DEVFACILITY,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_DEVFACILITY_DETAIL,1,GAS_DEVFACILITY_DETAIL,INSERT,,1,0
GASBB,GAS_DEVFACILITY_FACILITY,1,GAS_DEVFACILITY_FACILITY,INSERT,,1,0
GASBB,GAS_FACILITY,2,GAS_FACILITY,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_FACILITY,1,GAS_FACILITY,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_FACILITY_DETAIL,1,GAS_FACILITY_DETAIL,INSERT,,1,0
GASBB,GAS_FACILITY_DETAIL_CAPACITY,1,GAS_FACILITY_DETAIL_CAPACITY,INSERT,,1,0
GASBB,GAS_FACILITY_NODE,1,GAS_FACILITY_NODE,INSERT,,1,0
GASBB,GAS_FACILITY_NODE_CONNECTION,1,GAS_FACILITY_NODE_CONNECTION,INSERT,,1,0
GASBB,GAS_FACILITY_NODE_CONNECTION,2,GAS_FACILITY_NODE_CONNECTION,INSERT,,1,0
GASBB,GAS_FACILITY_NODE_TRK,1,GAS_FACILITY_NODE_TRK,INSERT,,1,0
GASBB,GAS_FACILITY_OPSTATE,1,GAS_FACILITY_OPSTATE,INSERT,,1,0
GASBB,GAS_FACILITY_OWNER,1,GAS_FACILITY_OWNER,INSERT,,1,0
GASBB,GAS_FACILITY_OWNER_TRK,1,GAS_FACILITY_OWNER_TRK,INSERT,,1,0
GASBB,GAS_FACILITY_SUMMARY,1,GAS_FACILITY_SUMMARY,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_FACILITY_TYPE,1,GAS_FACILITY_TYPE,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_FIELD,1,GAS_FIELD,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_FIELDINTEREST,1,GAS_FIELDINTEREST,INSERT,,1,0
GASBB,GAS_FIELDINTEREST_DETAIL,1,GAS_FIELDINTEREST_DETAIL,INSERT,,1,0
GASBB,GAS_FIELDINTEREST_PARTICIPANT,1,GAS_FIELDINTEREST_PARTICIPANT,INSERT,,1,0
GASBB,GAS_FIELDINTEREST_SHARE,1,GAS_FIELDINTEREST_SHARE,INSERT,,1,0
GASBB,GAS_FIELDINTEREST_SHARETRK,1,GAS_FIELDINTEREST_SHARETRK,INSERT,,1,0
GASBB,GAS_FIELD_DETAIL,1,GAS_FIELD_DETAIL,INSERT,,1,0
GASBB,GAS_GSH_TRADES,1,GAS_GSH_TRADES,INSERT-UPDATE,LASTCHANGED,1,0
GASBB,GAS_LINEPACK_ADEQUACY,1,GAS_LINEPACK_ADEQUACY,INSERT,,1,0
GASBB,GAS_LNG_SHIPMENT,1,GAS_LNG_SHIPMENT,INSERT,,1,0
GASBB,GAS_LNG_TRANSACTION,1,GAS_LNG_TRANSACTION,INSERT,,1,0
GASBB,GAS_LOCATION,1,GAS_LOCATION,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_LOCATION_NODE,1,GAS_LOCATION_NODE,INSERT,,1,0
GASBB,GAS_LOCATION_NODE_TRK,1,GAS_LOCATION_NODE_TRK,INSERT,,1,0
GASBB,GAS_LOCATION_OPSTATE,1,GAS_LOCATION_OPSTATE,INSERT,,1,0
GASBB,GAS_MARKET,1,GAS_MARKET,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_MEDIUM_TERM_CAP_OUTLOOK,1,GAS_MEDIUM_TERM_CAP_OUTLOOK,INSERT-UPDATE,LASTCHANGED,1,0
GASBB,GAS_NAMEPLATE_RATING,1,GAS_NAMEPLATE_RATING,INSERT,,1,0
GASBB,GAS_NODE,1,GAS_NODE,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_NODE_OPSTATE,1,GAS_NODE_OPSTATE,INSERT,,1,0
GASBB,GAS_NOMINATIONS_FORECAST,1,GAS_NOMINATIONS_FORECAST,INSERT,,1,0
GASBB,GAS_NOMINATIONS_FORECAST_AGG,1,GAS_NOMINATIONS_FORECAST_AGG,INSERT,,1,0
GASBB,GAS_PARTICIPANT,1,GAS_PARTICIPANT,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_PARTICIPANT_CONTACT,1,GAS_PARTICIPANT_CONTACT,INSERT,,1,0
GASBB,GAS_PARTICIPANT_CONTACT_TRK,1,GAS_PARTICIPANT_CONTACT_TRK,INSERT,,1,0
GASBB,GAS_PARTICIPANT_DETAIL,2,GAS_PARTICIPANT_DETAIL,INSERT,,1,0
GASBB,GAS_PARTICIPANT_DETAIL,1,GAS_PARTICIPANT_DETAIL,INSERT,,1,0
GASBB,GAS_PARTICIPANT_OPSTATE,1,GAS_PARTICIPANT_OPSTATE,INSERT,,1,0
GASBB,GAS_RESERVES_AND_RESOURCES,1,GAS_RESERVES_AND_RESOURCES,INSERT,,1,0
GASBB,GAS_SEC_CAP_ORDERS,1,GAS_SEC_CAP_ORDERS,INSERT,,1,0
GASBB,GAS_SEC_CAP_ORDERS_TRK,1,GAS_SEC_CAP_ORDERS_TRK,INSERT,,1,0
GASBB,GAS_SEC_CAP_TRADES,1,GAS_SEC_CAP_TRADES,INSERT,,1,0
GASBB,GAS_SEC_CAP_TRADES_TRK,1,GAS_SEC_CAP_TRADES_TRK,INSERT,,1,0
GASBB,GAS_SHIPPER_LIST,1,GAS_SHIPPER_LIST,INSERT,,1,0
GASBB,GAS_SHORT_TERM_CAP_OUTLOOK,1,GAS_SHORT_TERM_CAP_OUTLOOK,INSERT,,1,0
GASBB,GAS_SHORT_TERM_SWAP_TRANS,1,GAS_SHORT_TERM_SWAP_TRANS,INSERT,,1,0
GASBB,GAS_SHORT_TERM_TRANS,1,GAS_SHORT_TERM_TRANS,INSERT,,1,0
GASBB,GAS_STATE,1,GAS_STATE,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_STORAGE_CAPACITY_TRANS,1,GAS_STORAGE_CAPACITY_TRANS,INSERT,,1,0
GASBB,GAS_UNCONTRACTED_CAP_OUTLOOK,1,GAS_UNCONTRACTED_CAP_OUTLOOK,INSERT,,1,0
GCRHS,NULL,1,GENERICCONSTRAINTRHS,INSERT,,1,0
GD_INSTRUCT,GDINSTRUCT,1,GDINSTRUCT,INSERT-UPDATE,LASTCHANGED,1,0
GD_INSTRUCT,INSTRUCTIONSUBTYPE,1,INSTRUCTIONSUBTYPE,INSERT-UPDATE,LASTCHANGED,1,0
GD_INSTRUCT,INSTRUCTIONTYPE,1,INSTRUCTIONTYPE,INSERT-UPDATE,LASTCHANGED,1,0
GENCONDATA,NULL,6,GENCONDATA,INSERT,,1,0
GENCONDATA,NULL,5,GENCONDATA,INSERT,,1,0
GENCONSET,NULL,1,GENCONSET,INSERT,,1,0
GENCONSETINVOKE,NULL,2,GENCONSETINVOKE,INSERT-UPDATE,LASTCHANGED,1,0
GENCONSETTRK,NULL,2,GENCONSETTRK,INSERT,,1,0
GENCONSETTRK,NULL,1,GENCONSETTRK,INSERT,,1,0
GENERIC_CONSTRAINT,EMSMASTER,1,EMSMASTER,INSERT-UPDATE,LASTCHANGED,1,0
